Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.35,-.12,-.01,-.83,-.43,-.27,-.16,-.09,-.03,.05,.65
1881,-.08,-.17,.01,-.33,.11,-.07,-.93,-.40,-.19,.09,.12,-.05,-.07,.57
1882,-.10,-.21,-.01,-.30,-.05,.01,-1.42,-.24,-.14,-.05,-.04,.02,.04,.60
1883,-.17,-.28,-.06,-.34,-.16,-.01,-.19,-.52,-.27,-.18,-.14,-.03,.07,.48
1884,-.28,-.43,-.14,-.60,-.15,-.14,-1.31,-.61,-.47,-.14,-.16,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.13,-.27,-1.52,-.65,-.46,-.07,-.19,-.33,-.15,.80
1886,-.31,-.43,-.20,-.57,-.20,-.21,-1.60,-.48,-.41,-.22,-.17,-.20,-.20,.57
1887,-.36,-.44,-.28,-.52,-.30,-.28,-1.77,-.49,-.30,-.30,-.29,-.27,-.26,.30
1888,-.17,-.24,-.11,-.42,.10,-.29,-1.32,-.41,-.25,.06,.13,-.31,-.22,.13
1889,-.11,-.18,-.04,-.29,.08,-.16,-.70,-.20,-.28,.00,.15,-.15,-.15,.42
1890,-.35,-.38,-.32,-.45,-.37,-.22,-1.15,-.53,-.27,-.28,-.46,-.17,-.27,.13
1891,-.22,-.26,-.19,-.42,-.08,-.21,-1.13,-.32,-.36,.00,-.16,-.18,-.24,-.18
1892,-.27,-.40,-.15,-.43,-.30,-.08,-1.17,-.64,-.17,-.34,-.26,.02,-.21,.07
1893,-.31,-.48,-.15,-.52,-.36,-.05,-.74,-.54,-.47,-.42,-.30,.07,-.20,-.07
1894,-.30,-.39,-.21,-.33,-.33,-.24,-1.01,-.32,-.18,-.49,-.17,-.15,-.35,-.40
1895,-.23,-.31,-.15,-.41,-.07,-.26,-.74,-.52,-.27,-.15,.01,-.19,-.32,-.61
1896,-.11,-.20,-.02,-.36,.10,-.15,-.95,-.37,-.22,.05,.15,-.15,-.13,.23
1897,-.11,-.17,-.05,-.36,.17,-.23,-.62,-.47,-.24,.13,.21,-.19,-.27,.38
1898,-.27,-.28,-.26,-.34,-.22,-.26,-1.18,-.21,-.23,-.19,-.25,-.28,-.21,.35
1899,-.18,-.22,-.14,-.25,-.12,-.19,-1.10,-.09,-.15,-.16,-.07,-.16,-.22,.56
1900,-.08,-.09,-.06,-.20,.17,-.30,-.58,-.13,-.16,.08,.27,-.28,-.29,.25
1901,-.16,-.13,-.17,-.17,-.03,-.30,-.46,-.10,-.14,-.07,.00,-.27,-.33,.24
1902,-.28,-.34,-.21,-.54,-.03,-.35,-1.44,-.51,-.32,-.03,-.04,-.28,-.43,-.07
1903,-.37,-.39,-.36,-.48,-.28,-.38,-.32,-.43,-.56,-.24,-.32,-.35,-.40,-.49
1904,-.47,-.49,-.46,-.52,-.46,-.44,-.21,-.60,-.55,-.44,-.48,-.37,-.49,-1.31
1905,-.27,-.29,-.22,-.41,-.09,-.36,-.10,-.22,-.62,-.12,-.05,-.33,-.37,-.33
1906,-.23,-.24,-.21,-.26,-.20,-.23,-.31,-.06,-.39,-.22,-.17,-.20,-.22,-.71
1907,-.39,-.48,-.30,-.59,-.31,-.29,-.62,-.72,-.51,-.31,-.30,-.21,-.37,-1.19
1908,-.43,-.46,-.40,-.48,-.44,-.36,-.28,-.54,-.51,-.43,-.45,-.29,-.48,.68
1909,-.48,-.50,-.47,-.53,-.48,-.44,-.79,-.62,-.43,-.44,-.52,-.37,-.52,-.56
1910,-.43,-.45,-.43,-.42,-.49,-.38,-.61,-.24,-.49,-.49,-.48,-.33,-.45,.17
1911,-.44,-.42,-.45,-.42,-.42,-.48,-.31,-.41,-.47,-.43,-.41,-.44,-.52,.06
1912,-.36,-.46,-.24,-.59,-.18,-.37,-.53,-.78,-.50,-.27,-.08,-.37,-.29,-1.63
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.51,-.32,-.50,-.40,-.14,-.28,-.40,-1.03
1914,-.15,-.19,-.10,-.25,-.06,-.18,-.39,-.16,-.28,-.11,-.01,-.15,-.18,-.36
1915,-.14,-.15,-.13,-.23,-.01,-.22,-.63,-.16,-.18,-.02,-.01,-.15,-.23,-1.98
1916,-.36,-.42,-.30,-.37,-.45,-.23,-.52,-.54,-.23,-.50,-.39,-.23,-.17,-1.04
1917,-.46,-.58,-.35,-.50,-.64,-.19,-.86,-.49,-.42,-.70,-.57,-.23,-.09,.07
1918,-.30,-.40,-.20,-.41,-.34,-.14,-1.05,-.26,-.34,-.39,-.28,-.06,-.22,-.27
1919,-.28,-.35,-.20,-.44,-.20,-.22,-.74,-.55,-.29,-.24,-.17,-.15,-.32,.20
1920,-.28,-.31,-.24,-.25,-.26,-.32,-.05,-.20,-.34,-.39,-.13,-.19,-.48,-1.14
